Adres,pelny_adres,lat,lon
Gdanska 11,"Gdanska 11, Warszawa, Polska",52.2744165,20.972882
Zajaczka 11,"Zajaczka 11, Warszawa, Polska",52.260915,20.9899903
Zajaczka 15,"Zajaczka 15, Warszawa, Polska",52.260877,20.98654
Zajaczka 8,"Zajaczka 8, Warszawa, Polska",52.2617759,20.9952551
Zajaczka 8,"Zajaczka 8, Warszawa, Polska",52.2617759,20.9952551
Andersa 5 (1),"Andersa 5 (1), Warszawa, Polska",52.2451542,21.000357
Andersa 5 (2),"Andersa 5 (2), Warszawa, Polska",52.2451542,21.000357
Geodetow 1,"Geodetow 1, Warszawa, Polska",52.2048263,20.9684819
Geodetow 12,"Geodetow 12, Warszawa, Polska",52.2056968,20.9703495
Gorczewska 17A,"Gorczewska 17A, Warszawa, Polska",52.2366052,20.9664359
Gostynska 45,"Gostynska 45, Warszawa, Polska",52.2439817,20.9656107
Gorczewska 32,"Gorczewska 32, Warszawa, Polska",52.2384912,20.9571769
Gornoslaska 20,"Gornoslaska 20, Warszawa, Polska",52.2245846,21.0298737
Grabowska 4,"Grabowska 4, Warszawa, Polska",52.2285761,20.9546442
Grojecka 19/25,"Grojecka 19/25, Warszawa, Polska",52.2212193,20.9863737
Grojecka 5,"Grojecka 5, Warszawa, Polska",52.2229691,20.9877878
Grzybowska 35a,"Grzybowska 35a, Warszawa, Polska",52.2352664,20.9958844
Grzybowska 43a,"Grzybowska 43a, Warszawa, Polska",52.2340599,20.9920466
Hoza 19,"Hoza 19, Warszawa, Polska",52.2267934,21.0175602
Hoza 25,"Hoza 25, Warszawa, Polska",52.2265773,21.0164162
Hoza 41,"Hoza 41, Warszawa, Polska",52.2255146,21.0119374
Pereca 2,"Pereca 2, Warszawa, Polska",52.2345476,20.9960776
Inzynierska 1,"Inzynierska 1, Warszawa, Polska",52.2569396,21.0366104
Iwicka 51,"Iwicka 51, Warszawa, Polska",52.2089781,21.0410826
Bema 70,"Bema 70, Warszawa, Polska",52.228751,20.9595832
Sierakowskiego 6,"Sierakowskiego 6, Warszawa, Polska",52.2500275,21.0323495
Slowackiego 15/19,"Slowackiego 15/19, Warszawa, Polska",52.2697334,20.9796611
Slowackiego 6/8,"Slowackiego 6/8, Warszawa, Polska",52.2700902,20.9835082
Jaktorowska 8,"Jaktorowska 8, Warszawa, Polska",52.2344927,20.9772466
Jana Pawla II 64,"Jana Pawla II 64, Warszawa, Polska",52.2170811,21.2246273
Jasna 2/4,"Jasna 2/4, Warszawa, Polska",52.2334859,21.0133829
Jasnodworska 3c,"Jasnodworska 3c, Warszawa, Polska",52.2603061,20.959538
Jaworzynska 1,"Jaworzynska 1, Warszawa, Polska",52.2187772,21.0169617
Dickensa 15,"Dickensa 15, Warszawa, Polska",52.2059039,20.9697334
Dickensa 17,"Dickensa 17, Warszawa, Polska",52.2061165,20.969095
Dickensa 19,"Dickensa 19, Warszawa, Polska",52.2063269,20.9684602
Galczynskiego 4,"Galczynskiego 4, Warszawa, Polska",52.234009,21.0203527
Promyka 1,"Promyka 1, Warszawa, Polska",52.2728092,20.994211
Karmelicka 15,"Karmelicka 15, Warszawa, Polska",52.2476446,20.9917223
Karolkowa 50,"Karolkowa 50, Warszawa, Polska",52.2350687,20.9771817
Karolkowa 63,"Karolkowa 63, Warszawa, Polska",52.2389453,20.9749438
Karolkowa 84,"Karolkowa 84, Warszawa, Polska",52.2410548,20.9748986
Karolkowa 84,"Karolkowa 84, Warszawa, Polska",52.2410548,20.9748986
Kijowska 1,"Kijowska 1, Warszawa, Polska",52.2500965,21.0429885
Kopinska 35,"Kopinska 35, Warszawa, Polska",52.2173411,20.9736933
Koszykowa 54,"Koszykowa 54, Warszawa, Polska",52.2232488,21.0131204
Kozminska 7,"Kozminska 7, Warszawa, Polska",52.2247622,21.0370111
Krochmalna 2,"Krochmalna 2, Warszawa, Polska",52.2376774,20.9947393
Krucza 51,"Krucza 51, Warszawa, Polska",52.2314665,21.0157399
Popieluszki 11,"Popieluszki 11, Warszawa, Polska",52.2668776,20.9762892
Popieluszki 21,"Popieluszki 21, Warszawa, Polska",52.270376,20.9737512
Popieluszki 21,"Popieluszki 21, Warszawa, Polska",52.270376,20.9737512
Popieluszki 21,"Popieluszki 21, Warszawa, Polska",52.270376,20.9737512
Ksiecia Trojdena (1),"Ksiecia Trojdena (1), Warszawa, Polska",52.2055173,20.981211
Ksiecia Trojdena (2),"Ksiecia Trojdena (2), Warszawa, Polska",52.2059748,20.9844036
L. Narbutta 151,"L. Narbutta 151, Warszawa, Polska",52.2065634,21.0174371
Leszno 22,"Leszno 22, Warszawa, Polska",52.2383823,20.9778408
Lipowa 4,"Lipowa 4, Warszawa, Polska",52.2422545,21.0252795
Lirowa 26,"Lirowa 26, Warszawa, Polska",52.2010938,20.9631021
Ludna 10a,"Ludna 10a, Warszawa, Polska",52.230534,21.0332764
lazienkowska 7,"lazienkowska 7, Warszawa, Polska",52.2214541,21.0366436
lucka 20,"lucka 20, Warszawa, Polska",52.2326218,20.9866478
Anielewicza 17,"Anielewicza 17, Warszawa, Polska",52.2472453,20.9904219
Anielewicza 26b,"Anielewicza 26b, Warszawa, Polska",52.2463209,20.9827243
Anielewicza 47A,"Anielewicza 47A, Warszawa, Polska",52.2432254,20.9756174
Anielewicza 47B,"Anielewicza 47B, Warszawa, Polska",52.2428117,20.9754956
Kasprzaka 1/3,"Kasprzaka 1/3, Warszawa, Polska",52.2281501,20.9771666
M. Kazimiery 1,"M. Kazimiery 1, Warszawa, Polska",52.2742908,20.9795852
Konopnickiej 6,"Konopnickiej 6, Warszawa, Polska",52.2280534,21.0265631
Kopernika 36/40,"Kopernika 36/40, Warszawa, Polska",52.2381737,21.0203287
Marianska 1,"Marianska 1, Warszawa, Polska",52.2332949,21.0008006
Marianska 5,"Marianska 5, Warszawa, Polska",52.2343354,21.0002265
Mariensztat 25,"Mariensztat 25, Warszawa, Polska",52.246014,21.0163445
Markowska 22,"Markowska 22, Warszawa, Polska",52.2557126,21.042427
Marszalkowska 115,"Marszalkowska 115, Warszawa, Polska",52.2411374,21.0029871
Mazowiecka 6/8,"Mazowiecka 6/8, Warszawa, Polska",52.2371212,21.0136553
Miodowa 5,"Miodowa 5, Warszawa, Polska",52.2461708,21.011938
Mlynarska 8/12,"Mlynarska 8/12, Warszawa, Polska",52.2357804,20.9733003
Nowogrodzka 43,"Nowogrodzka 43, Warszawa, Polska",52.2278478,21.0108857
Nowogrodzka 75,"Nowogrodzka 75, Warszawa, Polska",52.2241029,20.9928166
Nowowiejska 28,"Nowowiejska 28, Warszawa, Polska",52.2211347,21.0003125
Nowy swiat 6/12,"Nowy swiat 6/12, Warszawa, Polska",52.2310388,21.0228086
Nowy Zjazd 1,"Nowy Zjazd 1, Warszawa, Polska",52.2474355,21.0191999
Obozna 11,"Obozna 11, Warszawa, Polska",52.238428,21.0189408
Ogrodowa 1a,"Ogrodowa 1a, Warszawa, Polska",52.2399918,20.9945106
Opaczewska 40a,"Opaczewska 40a, Warszawa, Polska",52.2104762,20.9655922
Opaczewska 43,"Opaczewska 43, Warszawa, Polska",52.2090745,20.962832
Opaczewska 43,"Opaczewska 43, Warszawa, Polska",52.2090745,20.962832
Opaczewska 43,"Opaczewska 43, Warszawa, Polska",52.2090745,20.962832
palac Staszica,"palac Staszica, Warszawa, Polska",52.2375994,21.0180245
Piaskowa 3,"Piaskowa 3, Warszawa, Polska",52.254459,20.9756747
Piekna 11,"Piekna 11, Warszawa, Polska",52.2234359,21.0196691
pl. Pilsudskiego 6,"pl. Pilsudskiego 6, Warszawa, Polska",52.2411674,21.0125435
Podwale 23,"Podwale 23, Warszawa, Polska",52.2497929,21.0091563
Powazkowska 40,"Powazkowska 40, Warszawa, Polska",52.2571835,20.9672224
Powazkowska 43,"Powazkowska 43, Warszawa, Polska",52.2591669,20.9596705
Prosta 26,"Prosta 26, Warszawa, Polska",52.2321823,20.9931904
Pruszkowska 29,"Pruszkowska 29, Warszawa, Polska",52.2021289,20.9748916
Pruszkowska 29b,"Pruszkowska 29b, Warszawa, Polska",52.2018258,20.9741019
Przyrynek 2,"Przyrynek 2, Warszawa, Polska",52.2543057,21.0090175
Ptasia 2,"Ptasia 2, Warszawa, Polska",52.2402556,21.0019316
Pulawska 11,"Pulawska 11, Warszawa, Polska",52.2114675,21.0210731
Pulawska 14,"Pulawska 14, Warszawa, Polska",52.208611,21.0212149
Pulawska 18,"Pulawska 18, Warszawa, Polska",52.2078311,21.0215288
Pulawska 27,"Pulawska 27, Warszawa, Polska",52.2088354,21.021972
Pulawska 28,"Pulawska 28, Warszawa, Polska",52.2056631,21.0222163
Rakowiecka 25/27,"Rakowiecka 25/27, Warszawa, Polska",52.2084198,21.0145385
Ratuszowa 11,"Ratuszowa 11, Warszawa, Polska",52.2583408,21.0323309
Rozbrat 26,"Rozbrat 26, Warszawa, Polska",52.2254307,21.0351581
Rybaki 35,"Rybaki 35, Warszawa, Polska",52.2561825,21.0087062
Hankiewicza 1,"Hankiewicza 1, Warszawa, Polska",52.2086068,20.9777244
Staszica 4,"Staszica 4, Warszawa, Polska",52.2352324,20.9720168
Staszica 4,"Staszica 4, Warszawa, Polska",52.2352324,20.9720168
Sapiezynska 10,"Sapiezynska 10, Warszawa, Polska",52.253303,21.0021159
Sienkiewicza 7,"Sienkiewicza 7, Warszawa, Polska",52.2338915,21.0115405
Sierpecka 6,"Sierpecka 6, Warszawa, Polska",52.2698538,20.9787227
Skierniewicka 21,"Skierniewicka 21, Warszawa, Polska",52.2329564,20.9678883
Slowackiego 52/54,"Slowackiego 52/54, Warszawa, Polska",52.2718876,20.9748449
Slowackiego 52/54,"Slowackiego 52/54, Warszawa, Polska",52.2718876,20.9748449
Solec 61a,"Solec 61a, Warszawa, Polska",52.2318142,21.0386073
Stalowa 17/19,"Stalowa 17/19, Warszawa, Polska",52.2593691,21.0385309
Stalowa 20/22,"Stalowa 20/22, Warszawa, Polska",52.2597392,21.0404341
Stalowa 21,"Stalowa 21, Warszawa, Polska",52.2595292,21.0390795
Stalowa 28,"Stalowa 28, Warszawa, Polska",52.2601727,21.0419489
Stawki 1,"Stawki 1, Warszawa, Polska",52.2532029,20.995452
Stepinska 39A,"Stepinska 39A, Warszawa, Polska",52.2072549,21.0371766
Szczesliwicka 21a,"Szczesliwicka 21a, Warszawa, Polska",52.2169117,20.9729484
Szczesliwicka 25,"Szczesliwicka 25, Warszawa, Polska",52.2160575,20.9710271
Szczesliwicka 29/29a,"Szczesliwicka 29/29a, Warszawa, Polska",52.2150227,20.9711199
Szczesliwicka 29/29a,"Szczesliwicka 29/29a, Warszawa, Polska",52.2150227,20.9711199
Szczesliwicka 36,"Szczesliwicka 36, Warszawa, Polska",52.2182578,20.9714911
Szczesliwicka 36,"Szczesliwicka 36, Warszawa, Polska",52.2182578,20.9714911
Szwedzka 20,"Szwedzka 20, Warszawa, Polska",52.2635215,21.0449578
Szwolezerow 4,"Szwolezerow 4, Warszawa, Polska",52.2165594,21.0426781
Szwolezerow 6,"Szwolezerow 6, Warszawa, Polska",52.2169462,21.0418521
srodkowa 2/4,"srodkowa 2/4, Warszawa, Polska",52.2593104,21.0416342
swietojanska 33,"swietojanska 33, Warszawa, Polska",52.2489965,21.0121884
swietojerska 9,"swietojerska 9, Warszawa, Polska",52.2504393,21.0065229
Targowa 84,"Targowa 84, Warszawa, Polska",52.2566533,21.0334935
Towarowa 2,"Towarowa 2, Warszawa, Polska",52.2260307,20.9888605
Grojecka 17A,"Grojecka 17A, Warszawa, Polska",52.221593,20.986717
Lindleya 14,"Lindleya 14, Warszawa, Polska",52.2258569,20.9964373
Korotynskiego 24,"Korotynskiego 24, Warszawa, Polska",52.2016316,20.9755281
Korotynskiego 34,"Korotynskiego 34, Warszawa, Polska",52.2024849,20.9702344
Korotynskiego 46,"Korotynskiego 46, Warszawa, Polska",52.2041875,20.9657658
Warecka 9,"Warecka 9, Warszawa, Polska",52.2348304,21.0159744
Wiejska 1,"Wiejska 1, Warszawa, Polska",52.2245346,21.0272857
Wiejska 20,"Wiejska 20, Warszawa, Polska",52.2275518,21.0251665
Wilcza 50/52,"Wilcza 50/52, Warszawa, Polska",52.2243294,21.012019
Wilcza 74,"Wilcza 74, Warszawa, Polska",52.2232605,21.0071324
Wolska 38,"Wolska 38, Warszawa, Polska",52.234855,20.9711884
Wolska 66,"Wolska 66, Warszawa, Polska",52.2334099,20.9635328
Wronia 53,"Wronia 53, Warszawa, Polska",52.2370366,20.9838317
Wybrzeze Kosciuszkowskie 51,"Wybrzeze Kosciuszkowskie 51, Warszawa, Polska",52.2452456,21.0226024
Krasinskiego 10,"Krasinskiego 10, Warszawa, Polska",52.2695944,20.987863
Krasinskiego 25,"Krasinskiego 25, Warszawa, Polska",52.2671641,20.9809479
Zawiszy 14,"Zawiszy 14, Warszawa, Polska",52.2439832,20.9628238
Zawiszy 14,"Zawiszy 14, Warszawa, Polska",52.2439832,20.9628238
Zlota 58,"Zlota 58, Warszawa, Polska",52.2306327,20.9992194
zelazna 32,"zelazna 32, Warszawa, Polska",52.2307103,20.9936783
zurawia 33/35,"zurawia 33/35, Warszawa, Polska",52.2279348,21.013578
11 Listopada 15,"11 Listopada 15, Warszawa, Polska",52.2633912,21.0377895
11 Listopada 15,"11 Listopada 15, Warszawa, Polska",52.2633912,21.0377895
11 Listopada 24,"11 Listopada 24, Warszawa, Polska",52.259607,21.0369155
11 Listopada 4,"11 Listopada 4, Warszawa, Polska",52.2568861,21.033752
11 Listopada 40,"11 Listopada 40, Warszawa, Polska",52.2617166,21.0378804
11 Listopada 48,"11 Listopada 48, Warszawa, Polska",52.264089,21.0389173
11 Listopada 54,"11 Listopada 54, Warszawa, Polska",52.2647149,21.0388852
11 Listopada 6,"11 Listopada 6, Warszawa, Polska",52.2570431,21.0339468
Asnyka 8,"Asnyka 8, Warszawa, Polska",52.1514418,21.2277517
Cieszkowskiego 2,"Cieszkowskiego 2, Warszawa, Polska",52.2702954,20.9812896
Corazziego 4,"Corazziego 4, Warszawa, Polska",52.2442188,21.0035767
Felinskiego  2b,"Felinskiego  2b, Warszawa, Polska",52.2600362,20.9895404
Felinskiego 13,"Felinskiego 13, Warszawa, Polska",52.2609687,20.9874192
Felinskiego 16,"Felinskiego 16, Warszawa, Polska",52.2628866,20.9880154
Felinskiego 26,"Felinskiego 26, Warszawa, Polska",52.2647956,20.9868458
Felinskiego 54,"Felinskiego 54, Warszawa, Polska",52.2678589,20.9848373
Felinskiego 8,"Felinskiego 8, Warszawa, Polska",52.2622546,20.9885038
German 1,"German 1, Warszawa, Polska",52.2599371,20.9734935
German 18,"German 18, Warszawa, Polska",52.2630429,20.9714551
German 3,"German 3, Warszawa, Polska",52.2603425,20.9731155
Grottgera 22,"Grottgera 22, Warszawa, Polska",52.2054886,21.0280764
Madalinskiego 13,"Madalinskiego 13, Warszawa, Polska",52.2047521,21.0201242
Madalinskiego 25,"Madalinskiego 25, Warszawa, Polska",52.2039632,21.0175422
Madalinskiego 39,"Madalinskiego 39, Warszawa, Polska",52.2038811,21.0141507
Madalinskiego 42,"Madalinskiego 42, Warszawa, Polska",52.204338,21.0128889
Madalinskiego 55,"Madalinskiego 55, Warszawa, Polska",52.2034309,21.0117335
Madalinskiego 6/8,"Madalinskiego 6/8, Warszawa, Polska",52.2056542,21.02042
Madalinskiego 67,"Madalinskiego 67, Warszawa, Polska",52.2027089,21.0090613
Madalinskiego 67B,"Madalinskiego 67B, Warszawa, Polska",52.2025768,21.0086636
Madalinskiego 70/78E,"Madalinskiego 70/78E, Warszawa, Polska",52.2033075,21.0074472
Mackiewicza  3/5,"Mackiewicza  3/5, Warszawa, Polska",52.2495277,21.0444201
Mickiewicza 23,"Mickiewicza 23, Warszawa, Polska",52.2627219,20.991357
Mickiewicza 25,"Mickiewicza 25, Warszawa, Polska",52.2653696,20.9889712
Mickiewicza 25,"Mickiewicza 25, Warszawa, Polska",52.2653696,20.9889712
Mickiewicza 27,"Mickiewicza 27, Warszawa, Polska",52.2672606,20.987263
Mickiewicza 34/36,"Mickiewicza 34/36, Warszawa, Polska",52.2718003,20.9844371
Mickiewicza 37,"Mickiewicza 37, Warszawa, Polska",52.2727756,20.9827045
Pawinskiego 28,"Pawinskiego 28, Warszawa, Polska",52.2030528,20.9743611
Pawinskiego 3,"Pawinskiego 3, Warszawa, Polska",52.2088755,20.980579
Pawinskiego 8,"Pawinskiego 8, Warszawa, Polska",52.2075967,20.9783797
Agawy 16,"Agawy 16, Warszawa, Polska",52.2431372,20.9643272
"al. ""Solidarnosci"" 125b","al. ""Solidarnosci"" 125b, Warszawa, Polska",52.2412502,20.9925035
"al. ""Solidarnosci"" 129/131","al. ""Solidarnosci"" 129/131, Warszawa, Polska",52.2404042,20.9898654
"al. ""Solidarnosci"" 155","al. ""Solidarnosci"" 155, Warszawa, Polska",52.2390784,20.9860773
"al. ""Solidarnosci"" 159","al. ""Solidarnosci"" 159, Warszawa, Polska",52.2386942,20.9857231
"al. ""Solidarnosci"" 49","al. ""Solidarnosci"" 49, Warszawa, Polska",52.2540726,21.034255
"al. ""Solidarnosci"" 68","al. ""Solidarnosci"" 68, Warszawa, Polska",52.2454089,21.0023847
"al. ""Solidarnosci"" 77","al. ""Solidarnosci"" 77, Warszawa, Polska",52.2445646,21.0032133
"al. ""Solidarnosci"" 83/89","al. ""Solidarnosci"" 83/89, Warszawa, Polska",52.2435451,20.9995993
"al. ""Solidarnosci"" 88","al. ""Solidarnosci"" 88, Warszawa, Polska",52.2407604,20.9881813
"al. ""Solidarnosci"" 90","al. ""Solidarnosci"" 90, Warszawa, Polska",52.2403482,20.9870145
"al. ""Solidarnosci"" 92","al. ""Solidarnosci"" 92, Warszawa, Polska",52.2401682,20.9864161
"al. ""Solidarnosci"" 93","al. ""Solidarnosci"" 93, Warszawa, Polska",52.2430581,20.9987952
al. 3 Maja 12,"al. 3 Maja 12, Warszawa, Polska",52.2346746,21.0320223
al. 3 Maja 7,"al. 3 Maja 7, Warszawa, Polska",52.233799,21.0325305
al. Armii Krajowej 4,"al. Armii Krajowej 4, Warszawa, Polska",52.267205,20.9581257
al. Armii Ludowej 30,"al. Armii Ludowej 30, Warszawa, Polska",52.2175542,21.0061738
al. Armii Ludowej 6,"al. Armii Ludowej 6, Warszawa, Polska",52.2186575,21.021246
al. Armii Ludowej 6,"al. Armii Ludowej 6, Warszawa, Polska",52.2186575,21.021246
al. Bohaterow Wrzesnia 29,"al. Bohaterow Wrzesnia 29, Warszawa, Polska",52.2102601,20.9618629
Szucha 16,"Szucha 16, Warszawa, Polska",52.2172925,21.0241584
Szucha 17/19,"Szucha 17/19, Warszawa, Polska",52.2178729,21.0240953
Szucha 25,"Szucha 25, Warszawa, Polska",52.2177416,21.0232094
al. Jana Pawla II 11,"al. Jana Pawla II 11, Warszawa, Polska",52.2315862,20.998756
al. Jana Pawla II 13,"al. Jana Pawla II 13, Warszawa, Polska",52.2320541,20.9984839
al. Jana Pawla II 18,"al. Jana Pawla II 18, Warszawa, Polska",52.2338436,20.9987746
al. Jana Pawla II 22,"al. Jana Pawla II 22, Warszawa, Polska",52.2355417,20.9981027
al. Jana Pawla II 26 (1),"al. Jana Pawla II 26 (1), Warszawa, Polska",52.2292541,21.001217
al. Jana Pawla II 26 (2),"al. Jana Pawla II 26 (2), Warszawa, Polska",52.2292541,21.001217
al. Jana Pawla II 26 (3),"al. Jana Pawla II 26 (3), Warszawa, Polska",52.2292541,21.001217
al. Jana Pawla II 34,"al. Jana Pawla II 34, Warszawa, Polska",52.2401904,20.9958398
al. Jana Pawla II 41a,"al. Jana Pawla II 41a, Warszawa, Polska",52.2426239,20.9922662
al. Jana Pawla II 43a,"al. Jana Pawla II 43a, Warszawa, Polska",52.2433675,20.9915878
al. Jana Pawla II 46/48a,"al. Jana Pawla II 46/48a, Warszawa, Polska",52.2427462,20.9935565
al. Jana Pawla II 46/48k,"al. Jana Pawla II 46/48k, Warszawa, Polska",52.243165,20.9931744
al. Jana Pawla II 52/54,"al. Jana Pawla II 52/54, Warszawa, Polska",52.244425,20.9921797
al. Jana Pawla II 78 (1),"al. Jana Pawla II 78 (1), Warszawa, Polska",52.2292541,21.001217
al. Jana Pawla II 78 (2),"al. Jana Pawla II 78 (2), Warszawa, Polska",52.2292541,21.001217
al. Jana Pawla II 80,"al. Jana Pawla II 80, Warszawa, Polska",52.2541239,20.9847154
Al. Jerozolimskie 100,"Al. Jerozolimskie 100, Warszawa, Polska",52.221997,20.9767115
Al. Jerozolimskie 101,"Al. Jerozolimskie 101, Warszawa, Polska",52.2261597,20.9972046
Al. Jerozolimskie 113/115,"Al. Jerozolimskie 113/115, Warszawa, Polska",52.2255113,20.9936669
Al. Jerozolimskie 119,"Al. Jerozolimskie 119, Warszawa, Polska",52.22521,20.9923128
Al. Jerozolimskie 120,"Al. Jerozolimskie 120, Warszawa, Polska",52.2218185,20.9758062
Al. Jerozolimskie 125/127,"Al. Jerozolimskie 125/127, Warszawa, Polska",52.2247721,20.9905082
Al. Jerozolimskie 132,"Al. Jerozolimskie 132, Warszawa, Polska",52.2215148,20.9745697
Al. Jerozolimskie 133,"Al. Jerozolimskie 133, Warszawa, Polska",52.2230771,20.9850701
Al. Jerozolimskie 134 (1),"Al. Jerozolimskie 134 (1), Warszawa, Polska",52.2162808,20.9609412
Al. Jerozolimskie 134 (2),"Al. Jerozolimskie 134 (2), Warszawa, Polska",52.2162808,20.9609412
Al. Jerozolimskie 135,"Al. Jerozolimskie 135, Warszawa, Polska",52.2229285,20.9838338
Al. Jerozolimskie 135,"Al. Jerozolimskie 135, Warszawa, Polska",52.2229285,20.9838338
Al. Jerozolimskie 135,"Al. Jerozolimskie 135, Warszawa, Polska",52.2229285,20.9838338
Al. Jerozolimskie 136,"Al. Jerozolimskie 136, Warszawa, Polska",52.2209903,20.972508
Al. Jerozolimskie 136 (2),"Al. Jerozolimskie 136 (2), Warszawa, Polska",52.2162808,20.9609412
Al. Jerozolimskie 139,"Al. Jerozolimskie 139, Warszawa, Polska",52.222402,20.9820323
Al. Jerozolimskie 141,"Al. Jerozolimskie 141, Warszawa, Polska",52.2221941,20.9811817
Al. Jerozolimskie 141,"Al. Jerozolimskie 141, Warszawa, Polska",52.2221941,20.9811817
Al. Jerozolimskie 149,"Al. Jerozolimskie 149, Warszawa, Polska",52.2212817,20.9776487
Al. Jerozolimskie 151,"Al. Jerozolimskie 151, Warszawa, Polska",52.2211793,20.9768078
Al. Jerozolimskie 151,"Al. Jerozolimskie 151, Warszawa, Polska",52.2211793,20.9768078
Al. Jerozolimskie 159,"Al. Jerozolimskie 159, Warszawa, Polska",52.2200425,20.9728771
Al. Jerozolimskie 181,"Al. Jerozolimskie 181, Warszawa, Polska",52.2109198,20.9522804
Al. Jerozolimskie 181,"Al. Jerozolimskie 181, Warszawa, Polska",52.2109198,20.9522804
Al. Jerozolimskie 185,"Al. Jerozolimskie 185, Warszawa, Polska",52.2092714,20.9513147
Al. Jerozolimskie 2,"Al. Jerozolimskie 2, Warszawa, Polska",52.2329369,21.0247128
Al. Jerozolimskie 25,"Al. Jerozolimskie 25, Warszawa, Polska",52.2303148,21.015292
Al. Jerozolimskie 25,"Al. Jerozolimskie 25, Warszawa, Polska",52.2303148,21.015292
Al. Jerozolimskie 28,"Al. Jerozolimskie 28, Warszawa, Polska",52.2317953,21.0196287
Al. Jerozolimskie 3,"Al. Jerozolimskie 3, Warszawa, Polska",52.231902,21.0233967
Al. Jerozolimskie 30,"Al. Jerozolimskie 30, Warszawa, Polska",52.2316079,21.0188871
Al. Jerozolimskie 42,"Al. Jerozolimskie 42, Warszawa, Polska",52.2307451,21.0145756
Al. Jerozolimskie 50,"Al. Jerozolimskie 50, Warszawa, Polska",52.2295097,21.0080803
Al. Jerozolimskie 51,"Al. Jerozolimskie 51, Warszawa, Polska",52.2288044,21.0085134
Al. Jerozolimskie 54,"Al. Jerozolimskie 54, Warszawa, Polska",52.2288207,21.00316
Al. Jerozolimskie 57,"Al. Jerozolimskie 57, Warszawa, Polska",52.2284731,21.0068749
Al. Jerozolimskie 65/79,"Al. Jerozolimskie 65/79, Warszawa, Polska",52.227606,21.0042609
Al. Jerozolimskie 7,"Al. Jerozolimskie 7, Warszawa, Polska",52.2313107,21.0201714
Al. Jerozolimskie 7,"Al. Jerozolimskie 7, Warszawa, Polska",52.2313107,21.0201714
Al. Jerozolimskie 89,"Al. Jerozolimskie 89, Warszawa, Polska",52.2269993,20.9995516
Al. Jerozolimskie 92,"Al. Jerozolimskie 92, Warszawa, Polska",52.2232084,20.9810922
Al. Jerozolimskie 92,"Al. Jerozolimskie 92, Warszawa, Polska",52.2232084,20.9810922
Al. Jerozolimskie 94,"Al. Jerozolimskie 94, Warszawa, Polska",52.2228575,20.9797195
Al. Jerozolimskie 94,"Al. Jerozolimskie 94, Warszawa, Polska",52.2228575,20.9797195
Al. Jerozolimskie 96,"Al. Jerozolimskie 96, Warszawa, Polska",52.2225785,20.9787034
al. Na Skarpie 15,"al. Na Skarpie 15, Warszawa, Polska",52.2269054,21.0284592
al. Na Skarpie 19,"al. Na Skarpie 19, Warszawa, Polska",52.2275015,21.0281636
al. Na Skarpie 20/26,"al. Na Skarpie 20/26, Warszawa, Polska",52.2289984,21.0286209
al. Niepodleglosci 142,"al. Niepodleglosci 142, Warszawa, Polska",52.205527,21.0095409
al. Niepodleglosci 147,"al. Niepodleglosci 147, Warszawa, Polska",52.2045131,21.0091096
al. Niepodleglosci 161,"al. Niepodleglosci 161, Warszawa, Polska",52.2065567,21.0081931
al. Niepodleglosci 162,"al. Niepodleglosci 162, Warszawa, Polska",52.2091426,21.009485
al. Niepodleglosci 164,"al. Niepodleglosci 164, Warszawa, Polska",52.2096235,21.0082255
